season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive
2025,KC,def,63,0.3,0.17,0.13,0.15,0.18,1.61,1.61,26.3,6.32,0.34,62.88,37.12,-1.83
2025,KC,off,64,0.4,0.24,0.16,0.04,0.23,2.14,2.14,29.33,6.66,0.38,64.71,35.29,-1.83
2025,LA,def,67,0.33,0.13,0.2,0.11,0.33,1.51,1.51,23.75,6.66,0.24,69.04,30.96,11.6
2025,LA,off,74,0.33,0.21,0.12,0.09,0.2,1.81,1.81,27.6,5.64,0.42,57.43,42.57,11.6
2025,LAC,def,64,0.34,0.14,0.2,0.07,0.29,1.56,1.56,23.48,6.36,0.38,60.98,39.02,-0.71
2025,LAC,off,74,0.26,0.14,0.12,0.11,0.23,1.32,1.32,24.19,5.73,0.31,61.69,38.31,-0.71
2025,LV,def,72,0.36,0.22,0.13,0.05,0.24,1.97,1.97,23.31,5.71,0.43,52.49,47.51,-15.34
2025,LV,off,68,0.26,0.12,0.14,0.16,0.23,1.28,1.28,23.85,6.02,0.28,67.83,32.17,-15.34
2025,MIA,def,67,0.43,0.26,0.17,0.07,0.13,2.35,2.35,29.23,6.21,0.47,58.78,41.22,0.32
2025,MIA,off,59,0.29,0.2,0.08,0.12,0.29,1.67,1.67,24.08,6.19,0.33,58.46,41.54,0.32
2025,MIN,def,83,0.24,0.14,0.11,0.09,0.31,1.27,1.27,17.38,4.92,0.34,54.61,45.39,-11.17
2025,MIN,off,70,0.29,0.17,0.12,0.16,0.34,1.57,1.57,22.09,5.7,0.3,65.78,34.22,-11.17
2025,NE,def,67,0.27,0.19,0.08,0.11,0.28,1.57,1.57,24.8,6.11,0.26,65.59,34.41,6.33
2025,NE,off,67,0.33,0.23,0.1,0.14,0.25,1.89,1.89,25.73,6.05,0.41,59.26,40.74,6.33
2025,NO,def,70,0.34,0.23,0.11,0.13,0.21,1.94,1.94,23.87,6.06,0.35,61.57,38.43,-1.7
2025,NO,off,67,0.29,0.15,0.14,0.1,0.31,1.44,1.44,24.08,7.05,0.37,63.27,36.73,-1.7
2025,NYG,def,90,0.26,0.13,0.13,0.06,0.22,1.31,1.31,20.98,4.99,0.29,62.25,37.75,-2.19
2025,NYG,off,60,0.29,0.16,0.13,0.19,0.3,1.49,1.49,26.88,7.33,0.39,64.44,35.56,-2.19
2025,NYJ,def,76,0.4,0.23,0.17,0.0,0.27,2.12,2.12,23.3,5.61,0.42,57.04,42.96,-6.82
2025,NYJ,off,67,0.32,0.18,0.14,0.14,0.25,1.7,1.7,24.0,6.17,0.32,63.87,36.13,-6.82
2025,PHI,def,66,0.37,0.19,0.18,0.1,0.25,1.84,1.84,26.33,6.42,0.31,64.31,35.69,-1.0
2025,PHI,off,75,0.26,0.19,0.06,0.02,0.35,1.55,1.55,18.37,5.46,0.23,65.31,34.69,-1.0
2025,PIT,def,52,0.31,0.21,0.1,0.25,0.19,1.76,1.76,29.93,6.6,0.41,64.33,35.67,7.91
2025,PIT,off,57,0.31,0.21,0.1,0.06,0.27,1.79,1.79,18.44,5.14,0.34,56.41,43.59,7.91
2025,SEA,def,70,0.34,0.18,0.16,0.11,0.26,1.71,1.71,23.44,6.15,0.34,62.6,37.4,2.48
2025,SEA,off,70,0.34,0.21,0.13,0.12,0.22,1.89,1.89,25.77,5.48,0.34,60.12,39.88,2.48
2025,SF,def,65,0.26,0.16,0.1,0.09,0.32,1.43,1.43,24.78,6.36,0.31,64.15,35.85,2.13
2025,SF,off,77,0.3,0.14,0.16,0.12,0.19,1.48,1.48,24.93,5.77,0.36,62.03,37.97,2.13
2025,TB,def,72,0.32,0.22,0.1,0.1,0.23,1.82,1.82,22.59,5.59,0.33,59.33,40.67,-1.7
2025,TB,off,72,0.38,0.22,0.16,0.04,0.28,2.0,2.0,25.01,6.09,0.37,61.03,38.97,-1.7
2025,TEN,def,75,0.34,0.23,0.12,0.06,0.22,1.93,1.93,25.42,5.69,0.39,56.7,43.3,-7.94
2025,TEN,off,67,0.29,0.1,0.19,0.1,0.34,1.26,1.26,18.02,6.14,0.18,64.64,35.36,-7.94
2025,WAS,def,64,0.31,0.18,0.13,0.06,0.32,1.64,1.64,27.36,6.6,0.36,63.95,36.05,9.06
2025,WAS,off,73,0.33,0.19,0.14,0.04,0.22,1.75,1.75,23.94,5.55,0.36,54.89,45.11,9.06
