team,game_rhythm_q4,play_call_entropy_neutral,neutral_pass_rate,neutral_plays,drive_momentum_3plus,drives_with_3plus,drives_total,field_flip_eff,punts_tracked,twomin_success_rate,twomin_epa_play,twomin_plays,pen_timing_index,pen_3rd_kill_rate,pen_rz_off_pen_rate,off_pens_tracked,qb_volatility_std,qb_dropbacks,rz_denial_rate_def,rz_trips_def,rz_fg_def,rz_td_def,neg_epa_recovery_rate,neg_events_tracked,third_down_avg_ytg,third_down_plays,run_sustainability_rate,rushes_tracked_ybc,def_adj_speed,def_epa_drive_h1,def_epa_drive_h2,def_drives_tracked,exp_to_succ_balance,explosive_rate,success_rate,plays_tracked
LV,2.0600859043657,0.9948131754904235,0.4576271186440678,118,0.1935483870967742,12,62,9.0625,16,0.46875,-0.23734757,32,0.17105263157894735,0.21052631578947367,0.13157894736842105,38,1.7714863,203,0.2727272727272727,26,6,16,0.2560386473429952,207,6.977528,89,,,0.032942478,0.043118175,0.010175697,62,0.32,0.13370473537604458,0.4178272980501393,359
MIA,2.3063063063063063,0.9913352317703912,0.5547445255474452,137,0.2037037037037037,11,54,12.352941176470589,17,0.4727272727272727,0.1802453,55,0.18333333333333335,0.16666666666666666,0.2,30,1.607123,205,0.4,32,12,18,0.3225806451612903,186,7.2933335,75,,,-0.2354356,1.2524875,1.4879231,57,0.2740740740740741,0.11455108359133127,0.4179566563467492,323
MIN,2.5294117647058822,0.9826808027585993,0.5773195876288659,97,0.2909090909090909,16,55,2.6666666666666665,21,0.5454545454545454,0.28018865,33,0.11627906976744186,0.13953488372093023,0.09302325581395349,43,1.7037632,169,0.4,17,6,9,0.29605263157894735,152,7.220588,68,,,-0.37917092,-0.8342753,-0.45510438,60,0.29770992366412213,0.13588850174216027,0.4564459930313589,287
NE,2.3361454411185116,0.996485989886783,0.5348837209302325,172,0.2545454545454545,14,55,15.176470588235293,17,0.47058823529411764,-0.009079877,51,0.15000000000000002,0.16,0.14,50,1.5858582,198,0.25,17,4,12,0.35294117647058826,187,7.282353,85,,,0.07871576,0.05859415,-0.020121612,60,0.3043478260869565,0.14040114613180515,0.46131805157593125,349
NO,3.1578948567921623,0.9985358500505679,0.5225225225225225,111,0.29508196721311475,18,61,-3.2,20,0.4,-0.21522495,45,0.10204081632653061,0.08163265306122448,0.12244897959183673,49,1.3557783,216,0.17391304347826086,24,4,19,0.3018867924528302,212,6.54023,87,,,3.2892773,1.9475694,-1.341708,61,0.2275449101796407,0.09947643979057591,0.43717277486910994,382
NYG,2.1042084329196755,0.9999721711292531,0.5031055900621118,161,0.22950819672131148,14,61,11.38888888888889,18,0.34375,-0.18171053,32,0.17592592592592593,0.16666666666666666,0.18518518518518517,54,1.5872135,212,0.2631578947368421,22,5,14,0.3031674208144796,221,6.9787235,94,,,0.7242143,0.7049739,-0.019240418,62,0.28313253012048195,0.12020460358056266,0.42455242966751916,391
NYJ,2.1951218862349466,0.9709505944546686,0.4,120,0.26229508196721313,16,61,9.727272727272727,22,0.391304347826087,-0.18021235,46,0.09574468085106383,0.02127659574468085,0.1702127659574468,47,1.4447124,196,0.3333333333333333,27,9,18,0.23469387755102042,196,7.5822783,79,,,1.666742,1.7301732,0.06343124,66,0.24223602484472048,0.10833333333333334,0.44722222222222224,360
PHI,2.2771084860631294,0.9801860005643561,0.5826771653543307,127,0.26229508196721313,16,61,-3.2666666666666666,30,0.391304347826087,0.069551565,46,0.06896551724137931,0.10344827586206896,0.034482758620689655,29,1.5056076,191,0.21052631578947367,23,4,15,0.27692307692307694,195,7.670886,79,,,1.2400461,0.74957716,-0.490469,62,0.26666666666666666,0.11560693641618497,0.43352601156069365,346
PIT,2.168674732019428,0.9970229471810963,0.5321100917431193,109,0.2127659574468085,10,47,12.142857142857142,14,0.34782608695652173,-0.060585603,23,0.1,0.16,0.04,25,1.5045674,150,0.3125,21,5,11,0.3082191780821918,146,7.0,64,,,-0.016789958,0.09535051,0.11214047,51,0.288135593220339,0.12830188679245283,0.44528301886792454,265
SEA,2.1981003274143673,0.9993938680426389,0.4855072463768116,138,0.2222222222222222,14,63,11.166666666666666,18,0.4444444444444444,0.0793949,45,0.1388888888888889,0.08333333333333333,0.19444444444444445,36,1.6047587,170,0.3684210526315789,22,7,12,0.3220338983050847,177,7.736111,72,,,-0.8839411,-0.7199062,0.1640349,69,0.3290322580645161,0.15223880597014924,0.4626865671641791,335
SF,2.1981424667817215,0.9448969577713231,0.6373056994818653,193,0.26666666666666666,16,60,15.071428571428571,14,0.55,0.21004759,60,0.1375,0.15,0.125,40,1.5994687,252,0.2222222222222222,22,4,14,0.37745098039215685,204,6.191489,94,,,0.65890974,0.38532552,-0.27358422,62,0.23857868020304568,0.11547911547911548,0.48402948402948404,407
TB,2.7862288640507007,0.9768740126265281,0.5892857142857143,168,0.2459016393442623,15,61,2.272727272727273,22,0.3958333333333333,0.14649408,48,0.10869565217391304,0.13043478260869565,0.08695652173913043,46,1.5246223,206,0.25,21,5,15,0.3251231527093596,203,7.8095236,84,,,-0.10040046,0.1287719,0.22917236,63,0.33540372670807456,0.14754098360655737,0.43989071038251365,366
TEN,2.741935568223017,0.9997332130219014,0.5096153846153846,104,0.18461538461538463,12,65,6.185185185185185,27,0.43103448275862066,0.007617145,58,0.15625,0.15625,0.15625,32,1.5042194,225,0.3076923076923077,28,8,18,0.24537037037037038,216,8.264368,87,,,-0.48169398,0.059191473,0.54088545,66,0.2748091603053435,0.10344827586206896,0.3764367816091954,348
WAS,1.9245283711461614,0.9999320050095963,0.49514563106796117,103,0.22413793103448276,13,58,21.933333333333334,15,0.38461538461538464,0.04100972,39,0.13541666666666669,0.14583333333333334,0.125,48,1.5815078,183,0.35,22,7,13,0.41714285714285715,175,7.219178,73,,,1.0056343,0.69238776,-0.31324652,62,0.29878048780487804,0.14285714285714285,0.478134110787172,343
